ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ann_date,end_date,grossprofit_margin,roe,roa,MA5,MA10,MA20,RSI
000001.SZ,2015-01-05,15.99,16.28,15.6,16.02,15.84,0.18,1.14,2860436.43,4565387.8464,20150313,2014-12-31,,16.2959,,,,,
000001.SZ,2015-01-06,15.85,16.39,15.55,15.78,16.02,-0.24,-1.5,2166421.4,3453446.1677,20150313,2014-12-31,,16.2959,,,,,
000001.SZ,2015-01-07,15.56,15.83,15.3,15.48,15.78,-0.3,-1.9,1700120.67,2634796.4088,20150313,2014-12-31,,16.2959,,,,,
000001.SZ,2015-01-08,15.5,15.57,14.9,14.96,15.48,-0.52,-3.36,1407714.21,2128003.4317,20150313,2014-12-31,,16.2959,,,,,
000001.SZ,2015-01-09,14.9,15.87,14.71,15.08,14.96,0.12,0.8,2508500.23,3835378.0999,20150313,2014-12-31,,16.2959,,15.463999999999999,,,
000001.SZ,2015-01-12,14.87,15.05,14.5,14.77,15.08,-0.31,-2.06,1553290.86,2293104.602,20150313,2014-12-31,,16.2959,,15.214000000000002,,,
000001.SZ,2015-01-13,14.65,14.9,14.61,14.68,14.77,-0.09,-0.61,816874.77,1204987.1489,20150313,2014-12-31,,16.2959,,14.994,,,
000001.SZ,2015-01-14,14.78,15.2,14.7,14.81,14.68,0.13,0.89,1263029.64,1889296.6794,20150313,2014-12-31,,16.2959,,14.86,,,
000001.SZ,2015-01-15,14.85,15.35,14.71,15.35,14.81,0.54,3.65,1242170.32,1868795.9097,20150313,2014-12-31,,16.2959,,14.937999999999999,,,
000001.SZ,2015-01-16,15.4,15.62,15.18,15.37,15.35,0.02,0.13,1555846.33,2403346.1946,20150313,2014-12-31,,16.2959,,14.996,15.23,,
000001.SZ,2015-01-19,14.01,14.57,13.83,13.83,15.37,-1.54,-10.02,2137123.66,3016203.0873,20150313,2014-12-31,,16.2959,,14.808000000000002,15.011,,
000001.SZ,2015-01-20,13.83,14.06,13.56,13.83,13.83,0.0,0.0,1491018.11,2064280.5549,20150313,2014-12-31,,16.2959,,14.638,14.815999999999999,,
000001.SZ,2015-01-21,13.88,14.6,13.75,14.42,13.83,0.59,4.27,1940530.37,2758192.757,20150313,2014-12-31,,16.2959,,14.559999999999999,14.709999999999999,,
000001.SZ,2015-01-22,14.34,14.52,14.16,14.3,14.42,-0.12,-0.83,1255016.11,1801436.2554,20150313,2014-12-31,,16.2959,,14.35,14.644,,30.973451327433622
000001.SZ,2015-01-23,14.36,14.63,14.3,14.4,14.3,0.1,0.7,1459181.92,2108746.7961,20150313,2014-12-31,,16.2959,,14.156,14.576000000000002,,32.467532467532465
000001.SZ,2015-01-26,14.36,14.44,14.16,14.34,14.4,-0.06,-0.42,1057605.8,1508446.5932,20150313,2014-12-31,,16.2959,,14.258000000000001,14.532999999999998,,33.783783783783775
000001.SZ,2015-01-27,14.35,14.37,13.83,13.99,14.34,-0.35,-2.44,1339494.66,1881058.9647,20150313,2014-12-31,,16.2959,,14.290000000000001,14.463999999999999,,33.407572383073486
000001.SZ,2015-01-28,13.87,14.3,13.8,14.06,13.99,0.07,0.5,1240877.55,1742175.7359,20150313,2014-12-31,,16.2959,,14.218,14.389,,38.86138613861385
000001.SZ,2015-01-29,13.82,14.01,13.75,13.9,14.06,-0.16,-1.14,1016753.29,1408825.3559,20150313,2014-12-31,,16.2959,,14.138,14.244,,35.5392156862745
000001.SZ,2015-01-30,13.93,14.12,13.76,13.93,13.9,0.03,0.22,930116.69,1298735.7189,20150313,2014-12-31,,16.2959,,14.044,14.1,14.665000000000001,38.94736842105262
000001.SZ,2015-02-02,13.6,13.8,13.55,13.63,13.93,-0.3,-2.15,860932.16,1176949.5597,20150313,2014-12-31,,16.2959,,13.902000000000001,14.080000000000002,14.5455,36.90773067331671
000001.SZ,2015-02-03,13.78,13.99,13.62,13.95,13.63,0.32,2.35,883349.14,1217876.5902,20150313,2014-12-31,,16.2959,,13.894,14.092000000000002,14.453999999999999,39.76190476190474
000001.SZ,2015-02-04,14.0,14.04,13.7,13.71,13.95,-0.24,-1.72,807623.11,1122666.7553,20150313,2014-12-31,,16.2959,,13.824000000000002,14.021,14.3655,28.97435897435895
000001.SZ,2015-02-05,14.3,14.43,13.76,13.79,13.71,0.08,0.58,1913729.16,2710523.8859,20150313,2014-12-31,,16.2959,,13.801999999999998,13.969999999999999,14.306999999999999,30.05050505050501
000001.SZ,2015-02-06,13.69,13.95,13.4,13.51,13.79,-0.28,-2.03,1030408.56,1411298.5904,20150313,2014-12-31,,16.2959,,13.718,13.881,14.2285,44.074074074074055
000001.SZ,2015-02-09,13.5,13.68,13.22,13.52,13.51,0.01,0.07,946586.28,1273141.1596,20150313,2014-12-31,,16.2959,,13.696000000000002,13.799000000000001,14.166000000000002,44.28044280442802
000001.SZ,2015-02-10,13.49,13.82,13.42,13.77,13.52,0.25,1.85,724875.37,991823.7438,20150313,2014-12-31,,16.2959,,13.66,13.777000000000001,14.120500000000002,36.28691983122358
000001.SZ,2015-02-11,13.78,13.85,13.68,13.73,13.77,-0.04,-0.29,554349.51,763414.5815,20150313,2014-12-31,,16.2959,,13.663999999999998,13.744,14.066500000000001,37.55458515283838
000001.SZ,2015-02-12,13.75,13.9,13.62,13.86,13.73,0.13,0.95,608715.68,838611.2394,20150313,2014-12-31,,16.2959,,13.678,13.74,13.991999999999999,38.36206896551718
000001.SZ,2015-02-13,13.93,14.18,13.84,13.95,13.86,0.09,0.65,887743.1,1244514.7935,20150313,2014-12-31,,16.2959,,13.766,13.742,13.920999999999998,41.70212765957442
000001.SZ,2015-02-16,13.95,14.01,13.73,13.92,13.95,-0.03,-0.22,721202.39,999898.4688,20150313,2014-12-31,,16.2959,,13.846,13.770999999999997,13.9255,48.2758620689655
000001.SZ,2015-02-17,13.96,14.11,13.93,13.99,13.92,0.07,0.5,680491.59,954430.2378,20150313,2014-12-31,,16.2959,,13.89,13.775,13.9335,48.2758620689655
000001.SZ,2015-02-25,14.04,14.05,13.76,13.8,13.99,-0.19,-1.36,577392.33,799193.6289,20150313,2014-12-31,,16.2959,,13.904,13.784,13.9025,47.57281553398058
000001.SZ,2015-02-26,13.8,14.08,13.6,14.07,13.8,0.27,1.96,1025544.24,1424064.8621,20150313,2014-12-31,,16.2959,,13.945999999999998,13.812000000000001,13.891,53.04347826086959
000001.SZ,2015-02-27,14.06,14.16,13.96,13.99,14.07,-0.08,-0.57,793570.14,1115146.0528,20150313,2014-12-31,,16.2959,,13.953999999999999,13.86,13.870500000000002,58.65384615384618
000001.SZ,2015-03-02,14.03,14.09,13.87,14.03,13.99,0.04,0.29,1018797.0,1423603.2692,20150313,2014-12-31,,16.2959,,13.975999999999999,13.911000000000001,13.854999999999999,52.222222222222236
000001.SZ,2015-03-03,13.98,13.98,13.59,13.6,14.03,-0.43,-3.06,1059476.29,1457305.0354,20150313,2014-12-31,,16.2959,,13.898000000000001,13.894,13.8355,47.23618090452258
