ts_code,ann_date,end_date,grossprofit_margin,roe,roa
000001.SZ,20241019,20240930,,8.2528,
000001.SZ,20240816,20240630,,5.4242,
000001.SZ,20240816,20240630,,5.4242,
000001.SZ,20240420,20240331,,3.1176,
000001.SZ,20240315,20231231,,10.2436,
000001.SZ,20231025,20230930,,8.8025,
000001.SZ,20230824,20230630,,5.7258,
000001.SZ,20230425,20230331,,3.3133,
000001.SZ,20230425,20230331,,3.3133,
000001.SZ,20230309,20221231,,10.966,
000001.SZ,20230309,20221231,,10.966,
000001.SZ,20221025,20220930,,8.9322,
000001.SZ,20221025,20220930,,8.9322,
000001.SZ,20220818,20220630,,5.4704,
000001.SZ,20220818,20220630,,5.4704,
000001.SZ,20220427,20220331,,3.206,
000001.SZ,20220427,20220331,,3.206,
000001.SZ,20220310,20211231,,9.5674,
000001.SZ,20220310,20211231,,9.5674,
000001.SZ,20211021,20210930,,7.7385,
000001.SZ,20210820,20210630,,4.7437,
000001.SZ,20210820,20210630,,4.7437,
000001.SZ,20210421,20210331,,2.7505,
000001.SZ,20210202,20201231,,8.5445,
000001.SZ,20210202,20201231,,8.5445,
000001.SZ,20201022,20200930,,6.6685,
000001.SZ,20200828,20200630,,4.1175,
000001.SZ,20200828,20200630,,4.1175,
000001.SZ,20200421,20200331,,2.5695,
000001.SZ,20200214,20191231,,10.1966,
000001.SZ,20200214,20191231,,10.1966,
000001.SZ,20191022,20190930,,8.9454,
000001.SZ,20191022,20190930,,8.9454,
000001.SZ,20190808,20190630,,6.2028,
000001.SZ,20190808,20190630,,6.2028,
000001.SZ,20190424,20190331,,3.0331,
000001.SZ,20190424,20190331,,3.0331,
000001.SZ,20190307,20181231,,10.7415,
000001.SZ,20190307,20181231,,10.7415,
000001.SZ,20181024,20180930,,8.9467,
000001.SZ,20181024,20180930,,8.9467,
000001.SZ,20180816,20180630,,5.9405,
000001.SZ,20180816,20180630,,5.9405,
000001.SZ,20180420,20180331,,2.9611,
000001.SZ,20180420,20180331,,2.9611,
000001.SZ,20180315,20171231,,10.9324,
000001.SZ,20180315,20171231,,10.9324,
000001.SZ,20171021,20170930,,9.1144,
000001.SZ,20171021,20170930,,9.1144,
000001.SZ,20170811,20170630,,6.0702,
000001.SZ,20170811,20170630,,6.0702,
000001.SZ,20170422,20170331,,3.0319,
000001.SZ,20170422,20170331,,3.0319,
000001.SZ,20170317,20161231,,12.4283,
000001.SZ,20170317,20161231,,12.4283,
000001.SZ,20161021,20160930,,10.4073,
000001.SZ,20161021,20160930,,10.4073,
000001.SZ,20160812,20160630,,6.9604,
000001.SZ,20160812,20160630,,6.9604,
000001.SZ,20160421,20160331,,3.487,
000001.SZ,20160421,20160331,,3.487,
000001.SZ,20160310,20151231,,14.953,
000001.SZ,20160310,20151231,,14.953,
000001.SZ,20151023,20150930,,12.3158,
000001.SZ,20151023,20150930,,12.3158,
000001.SZ,20150814,20150630,,8.2213,
000001.SZ,20150814,20150630,,8.2213,
000001.SZ,20150424,20150331,,4.2062,
000001.SZ,20150424,20150331,,4.2062,
000001.SZ,20150313,20141231,,16.2959,
000001.SZ,20150313,20141231,,16.2959,
000001.SZ,20141024,20140930,,13.1431,
000001.SZ,20141024,20140930,,13.1431,
000001.SZ,20140814,20140630,,8.6447,
000001.SZ,20140814,20140630,,8.6447,
000001.SZ,20140424,20140331,,4.4066,
000001.SZ,20140424,20140331,,4.4066,
000001.SZ,20140307,20131231,,15.4724,
000001.SZ,20140307,20131231,,15.4724,
000001.SZ,20131023,20130930,,13.0164,
000001.SZ,20131023,20130930,,13.0164,
000001.SZ,20130823,20130630,,8.5414,
000001.SZ,20130823,20130630,,8.5414,
000001.SZ,20130424,20130331,,4.1358,
000001.SZ,20130424,20130331,,4.1358,
000001.SZ,20130308,20121231,,16.9537,
000001.SZ,20130308,20121231,,16.9537,
000001.SZ,20121026,20120930,,13.2071,
000001.SZ,20121026,20120930,,13.2071,
000001.SZ,20120816,20120630,,8.8308,
000001.SZ,20120816,20120630,,8.8308,
000001.SZ,20120426,20120331,,4.5681,
000001.SZ,20120426,20120331,,4.5681,
000001.SZ,20120309,20111231,,19.2441,
000001.SZ,20120309,20111231,,19.2441,
000001.SZ,20111026,20110930,,14.8946,
000001.SZ,20111026,20110930,,14.8946,
000001.SZ,20110818,20110630,,13.2051,
000001.SZ,20110818,20110630,,13.2051,
000001.SZ,20110427,20110331,,6.9165,
