ts_code,ann_date,end_date,grossprofit_margin,roe,roa
600000.SH,20241031,20240930,,4.8669,
600000.SH,20240820,20240630,,3.6712,
600000.SH,20240430,20240331,,2.3738,
600000.SH,20240430,20231231,,5.1598,
600000.SH,20231028,20230930,,3.9596,
600000.SH,20230831,20230630,,3.2797,
600000.SH,20230429,20230331,,2.2428,
600000.SH,20230429,20230331,,2.2428,
600000.SH,20230419,20221231,,7.4818,
600000.SH,20230419,20221231,,7.4818,
600000.SH,20221029,20220930,,5.9415,
600000.SH,20221029,20220930,,5.9415,
600000.SH,20220827,20220630,,4.4527,
600000.SH,20220827,20220630,,4.4527,
600000.SH,20220428,20220331,,2.8568,
600000.SH,20220428,20211231,,8.1032,
600000.SH,20220428,20211231,,8.1032,
600000.SH,20211030,20210930,,6.3866,
600000.SH,20211030,20210930,,6.3866,
600000.SH,20210828,20210630,,4.6233,
600000.SH,20210828,20210630,,4.6233,
600000.SH,20210430,20210331,,2.8901,
600000.SH,20210430,20210331,,2.8901,
600000.SH,20210327,20201231,,9.7856,
600000.SH,20210327,20201231,,9.7856,
600000.SH,20201031,20200930,,7.9413,
600000.SH,20200829,20200630,,5.1763,
600000.SH,20200829,20200630,,5.1763,
600000.SH,20200425,20200331,,3.0746,
600000.SH,20200425,20191231,,11.4901,
600000.SH,20200425,20191231,,11.4901,
600000.SH,20191030,20190930,,9.5587,
600000.SH,20191030,20190930,,9.5587,
600000.SH,20190824,20190630,,6.6587,
600000.SH,20190824,20190630,,6.6587,
600000.SH,20190430,20190331,,3.4284,
600000.SH,20190430,20190331,,3.4284,
600000.SH,20190326,20181231,,12.4674,
600000.SH,20190326,20181231,,12.4674,
600000.SH,20181031,20180930,,9.8112,
600000.SH,20181031,20180930,,9.8112,
600000.SH,20180830,20180630,,6.5959,
600000.SH,20180830,20180630,,6.5959,
600000.SH,20180428,20180331,,3.3516,
600000.SH,20180428,20180331,,3.3516,
600000.SH,20180428,20171231,,13.6782,
600000.SH,20180428,20171231,,13.6782,
600000.SH,20171028,20170930,,10.669,
600000.SH,20171028,20170930,,10.669,
600000.SH,20170830,20170630,,7.4617,
600000.SH,20170830,20170630,,7.4617,
600000.SH,20170427,20170331,,3.8668,
600000.SH,20170427,20170331,,3.8668,
600000.SH,20170401,20161231,,15.5461,
600000.SH,20170401,20161231,,15.5461,
600000.SH,20161029,20160930,,12.0543,
600000.SH,20161029,20160930,,12.0543,
600000.SH,20160811,20160630,,8.1046,
600000.SH,20160811,20160630,,8.1046,
600000.SH,20160430,20160331,,4.2265,
600000.SH,20160430,20160331,,4.2265,
600000.SH,20160407,20151231,,17.591,
600000.SH,20160407,20151231,,17.591,
600000.SH,20151030,20150930,,13.2619,
600000.SH,20151030,20150930,,13.2619,
600000.SH,20150820,20150630,,8.7578,
600000.SH,20150820,20150630,,8.7578,
600000.SH,20150430,20150331,,4.1029,
600000.SH,20150430,20150331,,4.1029,
600000.SH,20150319,20141231,,20.2461,
600000.SH,20150319,20141231,,20.2461,
600000.SH,20141031,20140930,,15.9734,
600000.SH,20141031,20140930,,15.9734,
600000.SH,20140814,20140630,,10.72,
600000.SH,20140814,20140630,,10.72,
600000.SH,20140430,20140331,,5.087,
600000.SH,20140430,20140331,,5.087,
600000.SH,20140320,20131231,,21.4323,
600000.SH,20140320,20131231,,21.4323,
600000.SH,20131031,20130930,,15.9785,
600000.SH,20131031,20130930,,15.9785,
600000.SH,20130814,20130630,,10.6458,
600000.SH,20130814,20130630,,10.6458,
600000.SH,20130427,20130331,,4.8871,
600000.SH,20130427,20130331,,4.8871,
600000.SH,20130314,20121231,,20.9481,
600000.SH,20130314,20121231,,20.9481,
600000.SH,20121031,20120930,,16.4011,
600000.SH,20121031,20120930,,16.4011,
600000.SH,20120815,20120630,,11.0594,
600000.SH,20120815,20120630,,11.0594,
600000.SH,20120428,20120331,,5.1603,
600000.SH,20120428,20120331,,5.1603,
600000.SH,20120316,20111231,,20.0715,
600000.SH,20120316,20111231,,20.0715,
600000.SH,20111029,20110930,,15.1658,
600000.SH,20111029,20110930,,15.1658,
600000.SH,20110816,20110630,,10.0533,
600000.SH,20110816,20110630,,10.0533,
600000.SH,20110428,20110331,,4.8073,
